佛	Buddha
中秋晚会	Mid-Autumn Evening Party
中秋联欢会	Mid-Autumn Party
中英文对照	Chinese-English version
中韩日佛教友好交流会议	China-South Korea-Japan Buddhist Friendly Interaction Conference
为众服劳	serve the mass
为法忘躯	aspiring to attain Buddhahood and sacrificing the body for the Dharma
主席	Chairman
主法	preside over the assembly
主旨演讲	keynote speech
主流社会	Mainstream Society
主管法师	the venerable in charge
主讲人	lecturer
主题发言	keynote speech
主题沙龙	themed salon
主题研讨	symposium
义理	doctrines
义工服	volunteers' uniforms
九九重阳敬老暖心法会	Double Ninth Festival Warm Heart Dharma Assembly
习劳	love of labor
习气	habits
书函	letter papers
书法	Calligraphy
书记	Monastic Secretary
书院	Academy
书记法师	Monastic Secretary Venerables
乾隆大藏经	Chien-Lung Tripitaka
事业单位	public institution
云水堂	Yunshui Hall
云门山大觉禅寺	Dajue Chan Monastery in Yunmen Mountain
五明	Five Topics of Knowledge
五四青年节	Youth Day
五堂功课	five collective practice sessions
五观堂	Five-Contemplation Dining Hall
亲近	rely on
亲友会	Family and Friends' Meeting
人事物	people, events, things
人大常委会	the Standing Committee of NPC (National People's Congress)
人文主义	humanism
人文地理	human geography
人文学家	humanities scholar
人文环境	humanistic environment
人文科学院	the School of Humanities and Social Sciences
人民网	People.com.cn
人民大会堂	the Great Hall of the People
人民日报海外版	the People's Daily Overseas Edition
人物专栏	People column
人间净土	a piece of pure land on earth
仁爱网	www.chrenai.com
仁爱之歌	The Song of Ren Ai
仁爱助学	Ren Ai Educational Assistance
仁爱孝德奖	Ren Ai Award of Filial Piety and Virtue
仁爱孝德之星	Ren Ai Filial Piety and Virtue Star
仁爱心栈	Ren Ai Charity Stand
仁爱救援队	Ren Ai Rescue Team
仁爱灾害救助中心	Ren Ai Calamity Salvation Centre
仁爱社区服务中心	Ren Ai Community Service Center
仁爱祈愿林	Ren Ai Blessing Forest
仁爱衣+衣	Ren Ai Clothing Donation Project
代人着想	think of others
代僧王	the President of the Executive Committee For the Acting of the Supreme Patriarch
以见导行	guide action by right view
仪轨	ritual
价值观	views on value
任重道远	The burden is heavy and the road is long
伊斯兰教	Islam
众生	all living beings
会长	president; chairman;
传人	successor
传戒	Transmit Precepts
传承	inherit; persevere and pass on;inheritance
传授	transmit
传灯	pass on the lamp
传统文化	traditional culture
传统美德	traditional virtue;traditional merits
伽蓝	Sangharama
伽蓝菩萨	Sangharama Bodhisattva
住世	stay in the world forever;continuing existence ;long life
住持	Abbot
住持正法	Maintaining Proper Dharma
体悟	understand
佛世	Buddha's era
佛事	Buddhist service/rituals
佛像	Buddhist statues;Figures of the Buddha;image of Buddha;
佛典	Buddhist scriptures
佛制	traditional Buddhist practice；Regulations /practice prescribed by the Buddha
佛力	Buddha's wisdom and effect
佛号	Buddha names
佛堂	Buddhist Prayer Hall/Room
佛子	Buddhists
佛学	Buddhism ;Buddhist
佛教	Buddhism
佛法	Dharma; Buddha Dharma; Buddhism
佛珠	Buddhist prayer beads
佛经	Buddhist Sutras
佛门	Bhddhism
佛陀	Buddha;Sakyamuni Buddha
佛光山	Fo Kwang Mountain;Fo Guang Shan
佛弟子	disciples of the Buddha
佛所行赞	Gatha of The Acts of the Buddha
佛指舍利	Sakyamuni’s Finger Sarira
佛教徒	Buddhists
佛教界	Buddhist community/circles
佛教事业	Bhddhism; Buddhism enterprise; Dharma activities
佛教友好交流会议	Buddhist Friendly Interaction Conference
佛教复兴会	Buddhist Revival Association
佛教大学	Buddhist university
佛日增辉	glorifying Buddha;The Buddha light illuminating
佛涅槃日	Bhddha's Nibbana/Nirvana Day
佛牙舍利	Buddha’s/Sakyamuni's Tooth Sarira
佛罗里达州	Florida
佛菩萨	Buddhas and Bodhisattvas;Buddhist idol
佛菩萨圣诞	birthdays of Buddhas and Bodhisattvas
佛诞日	Buddha's birthday
佛说仁王护国般若经	Prajna Sutra of the Humane King Who Protects His Country
佛说佛名经	Buddha's Name Preached by Buddha Sutra
佛说盂兰盆经	The Ullambana Sutra preached by Buddha
佛顶骨舍利	Buddha's Parietal-bone Relic
作息	work and rest
作持	practice
作法	karma ceremony
供众	the offering public
供佛	offering to Buddha
供养	make offerings
供奉	Enshrining activity; consecrate;enshrine and worship
供斋	offer a meal; offer a vegetarian diet
供灯	offering  lamp
供养组	the Offering Group
依师	relying on the excellent teachers
依止	rely on/upon
依律安僧	in accordance with precepts to ensure the continuance of the Sangha
依教奉行	practice the Buddha’s teachings
俄罗斯传统佛教协会	Traditional Buddhist Sanghas of Russia
信仰	faith
信众	disciples
信心	confidence
信念	belief
信息化	informatization
信息技术组	IT Group
信教群众	disciples
修学	practicing and studying
修心	mind-training
修持	study and practice
修行	practice
修道	practice
修因契果	practicing cause and effect
修学实践	study and practice
修学环境	environment for study and practice
修行本起经	the Sutra on the Origination of Cultivation
修行生活	life of practice
修身养性	self-cultivation
倡导者	advocate
值佛闻法	encounter the Buddha, hearing the Dharma
偈颂	gatha
偈颂体	gatha form
僧众	Monk
僧伽	Sangha
僧团	The Sangha
僧寮	Sangha's domitory
僧尼	monks and nuns
僧才	monk
僧服	clothing for monks
僧格	character as a monk
僧衣	Monk's clothing
僧俗二众	The Sangha and laypeople
僧团执事会议	The Sangha Excecutive Board Meeting
僧团教务会议	Sangha Educational Administration conference
儒学	Confucian Studies
儒家	Confucianism
元宵	sweet dumplings
元旦	New Year's Day
元宵节	Lantern Festival
元宵灯会	lantern show
元宵网络灯会	internet lantern show on Lantern festival
元宵节团圆祈福法会	Dharma Assembly for Lantern Festival Reunion and Blessing
元旦祈福法会	A New Year Dharma Assembly for Blessing
先贤	sages
先人前贤	sages , ancestors
党政干部理论学习班	Theory Study Class for Party and Government Cadres
党组书记	Secretary of the Party Committee
兜率内院	Adytum of Tusita Heaven
入世	engagement of Buddhism in the secular world
入手处	point to start
全印度比丘僧伽会	the Sangha Council of the All India Bhiksu Maha Sangha
全国人大会议中心	the National People’s Congress Conference Center
全国人大常委	the Standing Committee of NPC (National People's Congress)
全国政协	the National Committee of Chinese People’s Political Consultative Conference (CPPCC)
全国政协会议	the CPPCC (Chinese People's Political Consultative Conference)
全国政协委员	member of the CPPCC National Committee
全国政协常委	Standing Committee of CPPCC
全国政协民宗委	the Committee for Ethnic and Religious Affairs under the CPPCC National Committee
全国生命教育工作委员会	National Life Education Working Committee
全国青联宗教界别组	the Ethnic & Religious Affairs Department of All-China Youth Federation
全球一体化	globalization
八关斋戒	Eight Precepts
八语种微博	"microblog of eight languages;
eight-lingual microblogs"
八达岭古长城	the ancient Badaling section of the Great Wall
公众	the public;  general public
公益	public welfare
公共秩序	public order
公募基金会	public-raising foundation
公益深交会（中国·深圳公益项目交流展示会缩写）	the Fair of Non-profit Organizations in Shenzhen
公示栏	the bulletin board
六根	the Six Sense-organs
六和敬	the Six Points of Reverent Harmony
六斋日	on the six days of fast of each month
六祖坛经	Altar Sutra; The Sutra of Hui Neng
共业	collective karma
共修	Dharma Practice activities
关照	take care of
其乐无穷	endless enjoy
典座	Monastic Chef
典籍	classics
养生	Health Preservation
养生粥	healthy porridge
内明	spirituality (adhyātmavidyā )
内院	inner courtyard
内阁部长	Cabinet minister
写生	make sketches
农历	lunar
农场	farmland
农禅	Farming and Chan
农耕	farming
农业与农村委员会（“全国人大农业与农村委员会”简称）	the Agriculture and Rural Affairs Committee
农民工子女	the children of rural workers
农禅体验	Agriculture and Chan Experience
农禅并重	Valuing Farming and Chan
冬至	winter solstice
决断	decisiveness;Precepts
净人	postulants
净化	purify;clean
净信心	reverence; complete faith
净土五经	the Five Pureland Sutras
准净人	postulant candidate
准讲师	instructor candidates
凤凰岭	Phoenix Ridge
凤凰网	ifeng.com
凤凰卫视	Phoenix TV
出世	supramundane;Withdraw from the Mundane World
出坡	do monastic work;laboring;work
出家	become a monk/nun;Renunciation;take renouncement
出家人	Buddhist monks and nuns;monk or nun;monk;nun
出家众	monks
出家行者	postulants
出版署（中华人民共和国新闻出版总署简称）	National Press and Publication Administration
出离心	Aspiration to Renounce the Secular World
创始人	founder
利他	benefit others
利生	benefit living beings
利乐有情	benefit sentient beings
别开生面	Spectacular;Creative;interesting
别有趣味	Interesting
制戒	precept-setting
剃度	tonsure
前行	Preparation
前世今生	Past and Present
副秘书长	vice executive secretary; Deputy Secretary-General
割爱辞亲	give up ones love and  leave family to...；bid farewell to their families to deliver all the sentient beings
劝勉	exhort
劝发菩提心	encourage to generate Bodhicitta
功德	merits and virtues
功课	practice sessions;lessons
功德衣	Kathina Robes
加被	bless
加利福尼亚整合研究学院	California Institute of Integral Studies
加州大学	University of California
加拿大广播公司	CBC Radio Canada
动土洒净仪式	ground planting and purification ceremony
动漫博览会	Comic & Animation Exhibition and Convention
助缘	be conducive to
助学项目组	Educational Assistance Project Team
助念往生	chant the sutras for rebirth in the Pure Land
助残扶弱	Help the Disabled and the Weak
助理秘书长	assistant secretary-general
勇猛	courage
勉励	encourage
勿忘初心	Don’t Forget the Original Aspiration
包罗万象	all-embracing
化身	phantom;embodiment
北京会议中心	Beijing Conference Center
北京佛教居士林	the Lay Buddhist Association of Beijing
北京复兴大国学文化基金会	the Beijing Great Sinology Foundation
北京外国语大学	Beijing Foreign Studies University
北京大学	Peking University
北京大学光华管理学院	Guanghua School of Management at Peking University
北京大学宗教文化研究院	Research Institute of Religion and Culture at Peking University (PKU)
北京大学百年讲堂	Centennial Auditorium, PKU
北京大学翻译协会	Translators Association of Peking University
北京大学英杰交流中心	Yingjie Exchange Center of Peking University
北京天主教爱国会	Beijing Catholic Patriotic Association
北京工人体育馆	Beijing Workers' Stadium
北京市人民政府研究室	Research Office of the People’s Government of Beijing Municipality
北京市仁爱慈善基金会	Beijing Ren Ai Charity Foundation
北京市创建和谐寺观教堂活动	Creating Harmonious Monasteries, Taoist Temples and Churches in Beijing
北京市委宣传部	the Publicity Department of the Beijing Municipal Committee
北京市宗教事务局/北京市宗教局	Beijing Municipal Bureau of Religious Affairs (参考北京机构名称)
北京市慈善义工协会	Beijing Charity Volunteer Association
北京市民政局	Beijing Municipal Bureau of Civil Affairs
北京市海淀区侨友联谊会	Overseas Chinese Association of Beijing’s Haidian District
北京市海淀社会组织联合会	Haidian Association of Social Organization
北京师范大学人文宗教高等研究院	Beijing Normal University’s Institute for Advanced Study of the Humanities and Religion
北京师范大学敬文讲堂	Jingwen Lecture Hall of Beijing Normal University
北京应物会议中心	Beijing Yingwu Conference Center
北京建设工程学院	Beijing University of Civil Engineering and Architecture
北京电视台	BTV
北京科学技术协会	Beijing Associations for Science and Technology
北京精神	Beijing Spirit
北京航空航天大学	Beijing University of Aeronautics and Astronautics
北京西客站南广场	the South Square of Beijing West Railway Station
北京西山灵光寺	the Lingguang Monastery of Beijing’s Western Mountains
北京龙泉寺	Beijing Longquan Monastery
北大佛学教育研究中心	the Research Center for Buddhist Education of Peking University
北大耕读社	the PKU Farming-Reading club
北配楼	the northern side building
医方明	medicine (cikitsāvidyā)
千手千眼	A Thousand Arms, A Thousand Eyes
千江水月	A Thousand Moons in a Thousand Lakes
升座	enthronement
升座典礼	enthronement ceremony
午斋	lunch
华北电力大学	North China Electric Power University(NCEPU)
华德福教育	Waldorf Education
华文出版社	Sino-Culture Press
单资	allowance
南京栖霞山文化节	Cultural Festival of Qixia Mountain, Nanjing.
南传上座部佛教	the Theravada Buddhism
南少林寺	Nan Shaolin Temple
南山律三大部	the three great Vinayapitakas of the Nanshan School
南线工棚	the southern work shed
博大精深	extensive and profound
博鳌亚洲论坛	Bo'ao Forum for Asia
卫赛节	the United Nations Day of Vesak
印度文化关系委员会	India Council for Cultural Relations
历程	in the course of
历练	practice
历事练心	undertake tasks and cultivate minds
历史沿革	history
参学	learning experiences
参悟	think about
参赞	Counselor
友成企业家扶贫基金会	You Change China Social Entrepreneur Foundation
发心	aspiration;vow;aspire;be self-motivated
发愿	making vows;vow
发改委	Development and Reform Commission
发起人	initiator
受戒	receive the precepts of the Buddha's teachings
受持	transmit
受筹	Taking Salaka (taking sticks to make vows to participate in the Summer Retreat).
受益匪浅	benefited greatly
古刹	ancient temple
古德	Patriarchs
古朴	pristine
古柏	old cypresses
古籍	ancient works/books
古生物学家	paleontologist
叩击	srike
召集人	conveners
可用之材	usable materials; avalable talent
可降解塑料薄膜	biodegradable plastic membrane; degradable plastic membrane
台湾佛光山宗委会	Fo Guang Shan Religious Affairs Committee
台湾净律寺	Jinglv Monastery in Taiwan
台湾政治大学社会科学学院公民社会暨地方治理研究中心	the Civilian Society and LocalControl Research Center of the College of Social Sciencesat Chengchi University in Taiwan
史料	historical materials
司长	Director
吉祥	Auspicious;lucky; propitious
吉祥经	Mangala Sutta
吉祥普佛	Prayer for Auspiciousness
同仁	Colleagues
同修	Dharma companions
同胞	Compatriots
同声互译	simultaneous interpretation
同声传译	simultaneous interpretation
同愿同行	Common Aspirations and Actions
同文同宗	have the same ancestors and clan
同根同源	share the same origin
同源同祖	have the same bloodline and ancestors
同行善友	Dharma companions
名誉会长	Honorary President
名誉院长	Honorary President
吟诵	chanting
周利盘陀伽尊者	Ven. Culapanthaka
周年回顾会	Anniversary Review Meeting
周年庆典	anniversary  ceremony
周年庆祝会	anniversary celebration
周年纪念	anniversary
周末义工	weekend volunteers
周末共修	Weekend Group Study
命脉	lifeblood
和合	harmony
和君商学院	Hejun Business School
和尚•博客	Monk • Blog
和尚•微博——北京龙泉寺的365天	Master Xuecheng's Microblog-Beijing Longquan Monastery 365 Days
和平祈愿文	peace aspiration prayer;  peace prayer
和平祈福法会	Praying for Bliss and Peace to both sides of the Taiwan Straits
和而不同	Harmony with Diversity
和谐世界	Harmonious World
和谐社会	harmonious society
品茶	taste tea
哈佛大学	Harvard University
哥伦比亚大学	Columbia University
唱诵	chant
唱念仪轨	chanting rituals
善业	good Karma
善信	disciples
善巧	skillfully
善心	virtuous mind
善本	precious collection of rare books
善根	virtuous roots
善法	virtuous dharma
善行	virtuous deeds
善巧方便	flexibility and skillful means
善用其心	cultivate one's heart
善知识	excellent teachers
善行组	Good Deed Team
善行天下	Good Deeds around the World
喜闻乐见	be popular with, cater to, be enjoyed and shared
四分律	Four Sections of the Vinaya
四分律删繁补阙行事钞/四分律行事钞/行事钞	Recording the Particular Practices of the Commentary of the Vinaya of the Four Sections
四分律含注戒本疏	the Book of Bhiksus Precepts in Dharmagupta Vinaya
四分律比丘含注戒本疏行宗记	the Commentary on the Book of Bhiksus Precepts in Dharmagupta Vinaya
四分律行事钞资持记/资持记	Record on the Particular Practices
四和仁爱	Si He-Ren Ai
四圣供	Four Saints Offering
四大部组	the Charity, Cultural and Publicity departments and the Great Chinese Culture Revival Foundation
四川大学	Sichuan University
四海书院	Beijing Sihai Confucius School
四海尼山孔孟夏令营	SihaiNishan Confucian and Mencian Summer Camp
回向	Dedicating Merits
回填土	backflling soil
因明	logic (hetuvidyā)
因果	causes and effects
因缘	causes and conditions;conditions; reasons
因材施教	Individualized Instruction
团圆饭	reunion lunch
团拜会	Greeting Party
国学	Sinology
国务院	State Council
国务院发展研究中心欧亚社会发展研究所	Euro-Asian Social Development Research Institute of theDevelopment Research Center of the State Council
国土资源局	Bureau of Land and Resources
国学社	Traditional Sinology Association
国家会议中心	CNCC/China National Convention Center
国家博物馆	National Museum of China
国家图书馆	National Library of China
国家宗教事务局/国家宗教局	State Administration of Religious Affairs;State Bureau of Religious Affairs
国家宗教事务局研究中心	Research Center of the State Administration of Religious Affairs
国家税务总局	the State Administration of Taxation
国庆黄金周佛教文化系列活动	a series of activities on Buddhist Culture during the  National Day Golden Week
国泰民安	prosperous country, peaceful life
国防大学	National Defense University
国际司	the Department of International Organizations and Conferences
国际在线	International Online
图书音像制品	books and audio-visual materials
图文并茂	with both photographs and text
圆满	successful;fully;perfect; complete
圆寂日	parinirvana day
圆通学舍	Yuantong Practice School
土灶	mud stove
圣像	holy statues
圣地	the Holy Land
在家居士	laypeople
地藏殿	Ksitigarbha Hall
地藏经	Sutra of Bodhisattva Ksitigarbha’s Fundamental Vows
地藏十轮经	Ten Cakras of Ksitigarbha
地藏菩萨	Ksitigarbha Bodhisattva
坐禅	the meditation
坚持不懈	persist in ;soldier on;keep on one resolve
垃圾精细分类	disposal of all kinds of rubbish
埃克塞特大学	University of Exeter
城市管理协会	City Management Association
培植福报/培福	accumulate merits
培福养慧	cultivate  merits and nurture  wisdom
基督教	Christian
基督教爱德敬老院	Christian Ai De Nursing Home
基督教科学箴言报	Christian Science Monitor
基调发言	keynote speech
堂口	function room
境外	overseas
境界	realm; boundary
境由心生	The world is as how you fell; the envirnonment is a reflection of our mind
增上	progress
增进业缘	enhance the karmic connections
复兴	Renaissance;rejuvenation; to revive
复旦大学	Fudan University
复旦大学哲学系宗教研究室	Philosophy Department’s Research Office of Religious Studies at Fudan University
复旦大学宗教研究所	Research Institute of Religious Studies at Fudan University
外相	external appearance
外事司	Foreign Affairs Department
外交部	Ministry of Foreign Affairs
外地学佛小组	non-Beijing Buddhist study groups
外文讲师	multilingual instructors
外斋堂	outer dining hall
多元主义	pluralism
多元文化	Multicultures;diverse cultures;multiculturalism
多宗教交流	multi-religion communication
多语种交流会	Multi-lingual Volunteers Exchange Meeting
多语种小剧场	multilingual theater
多语种微博	multilingual microblogs
大乘	Mahayana
大众	laypeople; the public; disciples
大供	grand food offering
大孝	the highest form of filial piety
大寮	kitchen
大德	virtuous laypeople;eminent monks
大悲	great compassion
大愿	Great aspiration;Great vows
大智	great wisdom
大殿	main hall
大界	borderline
大行	great practice
大乘佛法	Mahayanist sutras; Mahayana sutras
大乘百法明门论	Mahayana Treaties on the Illumination Door of the One Hundred Dharmas;Mahāyāna-śatadharma-prakāśamukha-śāstra
大和尚	Ven. Master
大地心有机农场	Earth-Heart Organic Farm
大悲咒	Great Compassion Mantra;Mahakaruna Dharani Sutra
大悲禅院	Temple of Great Compassion
大慈恩寺	Great Ci’en Monastery
大方广佛华严经/华严经	Avatamsaka Sutra
大智度论	Great Treatise on the Perfection of Wisdom
大有可为	play an important role in society; Great Prospects
大般涅槃经	Mahaparinirvana Sutra
大般若经	Mahaprajnaparamita Sutra
大般若经•东北方品	Mahaprajnaparamita Sutra - the chapter of North East
大藏经	Tripitaka
大长老	Ven.
大雄宝殿	Main Hall
天井	patio
天主教	Catholic
天之骄子	Best Talents
天台宗	Tiantai Buddhism
天王殿	Tian Wang Hall
头陀行	the Dhuta practice Bhiksus
奉送	offer... for free；distribute ；provide；serve
奉粥点	porridge service station
契机	at the right time
契理契机	based on their specific need
女众	female
如来家业	Buddha’s responsibility
如法如律	in accordance with the Dharma and the Vinaya
妇联	The Women's Federation
妙法精舍	Dharma Vihara
委员长	chairman
姜汤	ginger soup
姜糖水	sweet ginger soup
威仪	conduct , dignity
娑婆	the hymn of Saha Realm
孔子	Confucius
孔孟之道	the way of Confucius and Mencius; Confucius and Mencius
字纸	papers with characters
孝悌	Filial Piety
孝道	filial duty
孝顺	being filial towards ones parents
孝亲报恩	express filial piety and gratitude to parents and ancestors
孝亲敬老	showing filial piety and respect to parents and the seniors
孤本	the only existing copy
孤儿助学项目	Educational Assistance for Orphans Project
学人	scholars
学佛	Buddhist Study
学修	study and practice
学僧	disciples
学员	students
学子	students
学界	academia
学风	academic atmosphere
学以致用	put what they have learned into practice
学佛小组	Buddhist Study Group
学修处	Student Affairs Division
学修一体	combine Buddhist study with practice
学修体系	the system of study and practice
学修平台	platform for Buddhist study and practice
学修心得	experiences of study and practice
学修环境	environment for study and practice
学修生活	study and practice
学术界	academic circle
学术研讨会	academic seminar
学诚大和尚	Ven. Master Xuecheng
学诚大和尚侧记	Stories of Ven. Master Xuecheng
学诚大和尚博客	Ven. Master Xuecheng’s Blog
宇都宫大学	Utsunomiya University
守志奉道	Practice according to the teachings of the Buddha
安居	Retreat
安奉仪式	ceremony of offerings and enshrinement
安心办道	focus on the causes of Three Jewels
宗教	religion
宗旨	tenet;purpose
宗派	sect
宗务总长	general of Religious Affairs
宗喀巴大师	Ven. Master Tsong-kha-pa
宗喀巴大师应化因缘集	The Collection of Ven. Master Tsong-kha-pa's Karma of Induction Exemplifications
宗教学	religious study
宗教界	religious community
宗教仪式	religious ritual
宗教典籍	religious classics
宗教团体	religious groups
宗教多元主义倡导者	religious pluralism advocate
宗教对话	religious dialogue
宗教政策法规	laws and regulations about religion
宗教活动场所	sites for religious activities
宗风行谊	the words and deeds
官刻大藏经	official block-printed Tripitakas
宝性论	Ratnagotravibhaga
宝性论大疏	Ratnagotravibhaga
宝相庄严	look solemn and dignified
实业家	entrepreneurs
客堂	Reception Office; Monastic Reception
客座教授	visiting professor;guest professor
宾夕法尼亚大学	University of Pennsylvania
宿业	sins
密集用功	intensive practice
寒食	Hanshi Day ；Tomb Sweeping Day；
寓学于乐	intergrate learning in entertainment
寓法于耕	integrate Dharma into plowing
寮房	dormitory
对治	remove;overcome,deal with;against
对外友好协会	Chinese People's Association For Friendship with Foreign Countries
寺院	Monastery
寺院巡礼	tour around the Monastery
